code_serm;nom_serm;slug_serm;source_macrozonage;code_macrozone;CL_ADMIN;VKM;VKM_PL;DISTANCE;VKM_E;VKM_E_D1;VKM_E_D2;VKM_E_D3;VKM_E_D4;VKM_E_D5;VKM_T;VKM_T_D1;VKM_T_D2;VKM_T_D3;VKM_T_D4;VKM_T_D5;VKM_I;VKM_I_D1;VKM_I_D2;VKM_I_D3;VKM_I_D4;VKM_I_D5;VKM_PL_EC;VKM_PL_EC_D1;VKM_PL_EC_D2;VKM_PL_EC_D3;VKM_PL_EC_D4;VKM_PL_EC_D5;VKM_PL_TC;VKM_PL_TC_D1;VKM_PL_TC_D2;VKM_PL_TC_D3;VKM_PL_TC_D4;VKM_PL_TC_D5;VKM_PL_IC;VKM_PL_IC_D1;VKM_PL_IC_D2;VKM_PL_IC_D3;VKM_PL_IC_D4;VKM_PL_IC_D5;VKM_PL_EV;VKM_PL_EV_D1;VKM_PL_EV_D2;VKM_PL_EV_D3;VKM_PL_EV_D4;VKM_PL_EV_D5;VKM_PL_TV;VKM_PL_TV_D1;VKM_PL_TV_D2;VKM_PL_TV_D3;VKM_PL_TV_D4;VKM_PL_TV_D5;VKM_PL_IV;VKM_PL_IV_D1;VKM_PL_IV_D2;VKM_PL_IV_D3;VKM_PL_IV_D4;VKM_PL_IV_D5;VKM_PL_E;VKM_PL_E_D1;VKM_PL_E_D2;VKM_PL_E_D3;VKM_PL_E_D4;VKM_PL_E_D5;VKM_PL_T;VKM_PL_T_D1;VKM_PL_T_D2;VKM_PL_T_D3;VKM_PL_T_D4;VKM_PL_T_D5;VKM_PL_I;VKM_PL_I_D1;VKM_PL_I_D2;VKM_PL_I_D3;VKM_PL_I_D4;VKM_PL_I_D5;VKM_VL;VKM_VL_E;VKM_VL_E_D1;VKM_VL_E_D2;VKM_VL_E_D3;VKM_VL_E_D4;VKM_VL_E_D5;VKM_VL_T;VKM_VL_T_D1;VKM_VL_T_D2;VKM_VL_T_D3;VKM_VL_T_D4;VKM_VL_T_D5;VKM_VL_I;VKM_VL_I_D1;VKM_VL_I_D2;VKM_VL_I_D3;VKM_VL_I_D4;VKM_VL_I_D5
1;SERM Dijonnais;dijon;M1;1;Autoroute;11146471.189790005;2044912.5477890011;787.0299999999996;6661303.434446916;2070122.810272462;2180131.772485913;2085140.5037645097;325910.0897293332;0.0;2946537.1853143675;22389.847690217583;258074.23066467844;1451476.7496337576;1214588.757805514;0.0;1538630.570028715;1538243.8267960793;387.55406588967423;0.0;0.0;0.0;323718.4817190172;68493.22340834461;105191.29635945012;116176.37812247832;33631.3507000228;226.10993958143428;1416362.3118605202;1684.2913630568034;45866.08580716992;435271.1821699492;749575.0947291572;183969.3580160008;29013.86597651456;28998.78060760953;15.073515022029554;0.0;0.0;0.0;100911.24329608456;47686.588344143645;38280.69234481842;13905.59189470789;1038.3707124145008;0.0;151179.18733570637;763.9648969994416;11264.247893447033;101209.12205699943;37064.38495958247;877.467528678036;23727.457601158043;23715.09592835191;12.361672806138753;0.0;0.0;0.0;424629.7250151018;116179.81175248825;143471.98870426853;130081.9700171862;34669.7214124373;226.10993958143428;1567541.4991962265;2448.256260056245;57130.33370061695;536480.3042269486;786639.4796887396;184846.82554467884;52741.32357767261;52713.87653596144;27.435187828168306;0.0;0.0;0.0;9101558.642001003;6236673.709431814;1953942.9985199738;2036659.7837816442;1955058.5337473236;291240.3683168959;0.0;1378995.686118141;19941.591430161337;200943.89696406148;914996.445406809;427949.2781167743;0.0;1485889.2464510424;1485529.9502601179;360.11887806150594;0.0;0.0;0.0
1;SERM Dijonnais;dijon;M1;1;NoData;4100153.381558011;448587.32388300064;10300.710000002282;892034.7645215632;588998.4305767597;120843.84127574843;147346.9799911051;34856.82669140353;0.0;106545.74004486827;19566.93387218449;6343.089053760953;51344.81657476121;29314.517672427835;0.0;3101572.8769915635;3101056.191735092;363.962833176788;114.7003391256574;37.961650022195286;0.0;127694.45558948009;41475.67471650896;34387.72513216482;38141.11157198089;13196.097058025403;25.614642643566636;18763.16564637241;1862.3978600400303;3295.079231940067;7976.829271409582;5427.519694289023;101.2912856135298;140242.76082375174;139148.598876908;517.7761067701452;382.2122091677466;180.6490292168652;20.462595076186105;50619.915701062986;31805.416380528965;13809.78536508175;4669.049093297542;472.57207462492624;0.0;4111.399612265027;1567.5838182895195;692.9989654819636;1309.173167497276;209.7689452972924;0.0;107107.862366068;106550.69990135344;370.53684967372845;87.81490117651416;7.158811509964262;0.0;178314.37129054306;73281.09109703792;48197.51049724657;42810.16066527843;13668.66913265033;25.614642643566636;22874.565258637438;3429.98167832955;3988.078197422031;9286.002438906859;5637.288639586316;101.2912856135298;247350.62318981974;245699.29877826147;888.3129564438736;470.0271103442608;187.80784072682945;20.462595076186105;3651566.05767501;713720.3932310201;515717.33947972185;72646.33077850187;104536.81932582665;21188.1575587532;0.0;83671.17478623084;16136.95219385494;2355.010856338922;42058.81413585435;23677.22903284152;0.0;2854222.2538017435;2855356.8929568306;0.0;0.0;0.0;0.0
1;SERM Dijonnais;dijon;M1;1;Departementale;9577576.587889038;817249.2827169974;11748.2500000014;3313809.513775908;2117059.870439776;426947.343797443;612102.5745449379;157703.50523044032;0.0;862358.163302334;121010.34888850382;75908.2442393102;446864.7682707711;218573.32184865588;0.0;5401408.910810775;5400067.115129387;1340.2831634083022;0.0;0.0;0.0;241072.80348377803;118128.87873838664;53437.56694597576;45059.19797439848;23120.661781972656;170.0011494754144;73255.96677052049;10747.964665091256;22550.953906590308;29121.63702044603;10615.388223516917;173.29478478177396;194851.0764006716;194189.9680473458;468.3434854077072;127.85614564860276;51.90261663037509;2.369453356004651;124984.00101272568;96036.20494388787;22440.59938041603;6030.087091307645;475.2147502694798;0.0;19598.224756189196;9991.930374476067;6897.419472057303;2557.136833549886;159.6097814331343;0.0;163425.46163611586;163042.84346680023;349.8500048729954;30.39934701243019;1.564689399720498;0.0;366056.8044965037;214165.0836822745;75878.1663263918;51089.28506570612;23595.876532242135;170.0011494754144;92854.19152670969;20739.895039567324;29448.37337864761;31678.773853995914;10774.998004950052;173.29478478177396;358276.5380367874;357232.81151414604;818.1934902807026;158.25549266103295;53.46730603009559;2.369453356004651;8760327.305172041;2947752.709279404;1902894.7867575018;351069.1774710512;561013.2894792318;134107.62869819818;0.0;769503.9717756243;100270.45384893651;46459.87086066259;415185.9944167752;207798.32384370582;0.0;5043132.372773988;5042834.303615241;522.0896731275997;0.0;0.0;0.0
1;SERM Dijonnais;dijon;M1;1;Nationale;825194.523568;55826.962871;39.14;212486.3315689583;73697.39912360389;63325.26056589918;60707.22463825836;14756.663468627352;0.0;58636.55960343233;38.76358390421036;5248.296155100411;41794.585234818165;11555.220493823015;0.0;554071.6323956093;553848.49307185;223.130986413982;0.0;0.0;0.0;21745.53712641257;4466.161389476888;6180.448065352727;8449.741769797216;2620.7350969712925;29.556446227121068;2719.170363271131;0.3027980965961991;426.0237503855653;1836.12232066516;443.73463336874414;11.902224715122632;13366.738597012674;13353.29817784894;14.297495541245864;0.0;0.0;0.0;6573.77099648577;3225.6196790393906;2156.060852286723;1117.4072299041848;74.67520693337605;0.0;208.76280196257707;0.2298207784983723;167.47506613958905;40.66567980480311;0.3922352396866067;0.0;11212.98298585527;11201.801438823451;11.181547031818384;0.0;0.0;0.0;28319.308122898343;7691.7810685162785;8336.50891763945;9567.148999701401;2695.4103039046686;29.556446227121068;2927.933165233708;0.5326188750945714;593.4988165251543;1876.7880004699632;444.12686860843075;11.902224715122632;24579.721582867944;24555.099616672393;25.47904257306425;0.0;0.0;0.0;769367.5606969999;184167.02344605996;66005.6180550876;54988.75164825973;51140.07563855696;12061.253164722682;0.0;55708.626438198626;38.23096502911579;4654.797338575257;39917.7972343482;11111.093625214584;0.0;529491.9108127414;529293.3934551777;197.65194384091774;0.0;0.0;0.0
2;SERM Nord Franche-Comte;nfc;M1;2;Departementale;2960077.960643988;191934.1773329998;2199.5699999998933;1366440.9159426962;1216372.6256744217;61516.48184518987;59375.4726272431;29176.834260751035;0.0;149795.2524038747;115004.82304950085;27313.959771328005;6849.996448740926;624.7486614886365;0.0;1443841.7922974369;1443841.7922974369;0.0;0.0;0.0;0.0;58892.12685838624;39735.93770066688;8614.501165745674;6130.16837712216;4076.528412007098;86.52887888645768;27235.781212995294;4580.814480596661;6607.590063434548;8618.929650510587;7240.453447934175;175.20462517408396;35362.88570243723;35305.99425793306;21.83484597804206;24.810826438807425;9.71116828313395;0.2689999753211612;35477.7426693399;30963.860909563795;3448.304793426318;1054.2949474970956;11.187104311946172;0.0;8881.964482361554;2714.1945404869152;2828.19943393873;3206.561963510456;132.41507857066532;0.0;25983.28378047959;25965.768216765693;11.052772013293238;5.924791749958584;0.2706980485444203;0.0;94369.86952772614;70699.79861023067;12062.805959171992;7184.463324619255;4087.715516319044;86.52887888645768;36117.74569535685;7295.009021083577;9435.789497373278;11825.491614021043;7372.86852650484;175.20462517408396;61346.16948291681;61271.76247469876;32.8876179913353;30.735618188766008;9.98186633167837;0.2689999753211612;2768143.7833109885;1272071.04641497;1145672.827064191;49453.675886017874;52191.00930262385;25089.11874443199;0.0;113677.50670851786;107709.81402841727;17878.170273954725;0.0;0.0;0.0;1382495.62281452;1382570.0298227381;0.0;0.0;0.0;0.0
2;SERM Nord Franche-Comte;nfc;M1;2;Autoroute;2391485.90625;566371.6312640001;120.98;1322703.4743571817;1101955.1873343696;108006.74349259608;52027.6740806712;60713.50521617958;0.0;527001.0284912619;166469.62860777756;247911.07115927772;112620.85077841286;0.0;0.0;541781.4034015567;541781.4034015567;0.0;0.0;0.0;0.0;54362.22979709882;30714.029961211843;15376.398245623235;6447.641282999517;1660.8492771742938;162.76301824634913;359744.32286798244;4281.37163386854;41125.5856535231;135941.61345191978;72828.23214255023;105567.22239771047;7101.518464635696;7101.518464635696;0.0;0.0;0.0;0.0;30009.051488266745;24672.16378332449;4376.731207156754;940.8225095964106;19.3339881890698;0.0;110421.70317954526;2372.477252878128;17869.19387344166;77928.34823128143;11668.582908193966;583.1009137500656;4732.805466471131;4732.805466471131;0.0;0.0;0.0;0.0;84371.28128536556;55386.19374453633;19753.12945277999;7388.463792595928;1680.1832653633635;162.76301824634913;470166.0260475277;6653.848886746668;58994.77952696476;213869.9616832012;84496.81505074419;106150.32331146054;11834.323931106826;11834.323931106826;0.0;0.0;0.0;0.0;1825114.2749859998;1238332.1930718161;1046568.9935898333;88253.6140398161;44639.21028807527;59033.32195081622;0.0;56835.00244373421;159815.77972103088;188916.29163231296;0.0;0.0;0.0;529947.0794704498;529947.0794704498;0.0;0.0;0.0;0.0
2;SERM Nord Franche-Comte;nfc;M1;2;NoData;1353911.2199250096;110164.90315400026;2531.9499999998875;437538.4471732461;388665.5643844304;18487.708111515145;20195.816216080668;10181.457852282889;0.0;32824.57547027807;26110.09450895525;5364.163553689959;1205.1574713484588;145.15547024265;0.0;883548.1972814762;883368.0805888766;79.60279194884127;75.47328728924356;25.04061336139047;0.0;31355.72684743231;20220.11539347127;5445.437539701321;3606.855675707397;1808.1011785381409;29.68387870190415;4482.705064501824;784.8069570170024;1028.2800009987225;1325.4910460655606;1337.027674020574;12.090122970544227;32887.04738347215;32712.55966456594;57.84952453579113;77.96062209174097;36.1224567868805;3.812603769454671;18515.53990783027;15667.864020263554;2339.1839063139;502.70879986846137;5.778817528613681;0.0;1221.8879482121647;454.4257677494672;459.4588253315292;402.6615387443351;13.072500167677475;0.0;21490.713800551173;21444.020804272564;28.934280711763265;17.559753012926528;1.4528499701395556;0.0;49871.26675526258;35887.97941373482;7784.6214460152205;4109.5644755758585;1813.8799960667545;29.68387870190415;5704.593012713989;1239.2327247664696;1487.7388263302516;1728.1525848098956;1350.1001741882515;12.090122970544227;54377.76118402332;54156.5804688385;86.7838052475544;95.5203751046675;37.57530675702005;3.812603769454671;1243746.3167710095;387667.18041798356;352777.5849706956;10703.086665499924;16086.25174050481;8367.577856216134;0.0;27119.98245756408;24870.861784188783;3876.4247273597075;0.0;0.0;0.0;829170.4360974529;829211.5001200382;0.0;0.0;0.0;0.0
2;SERM Nord Franche-Comte;nfc;M1;2;Nationale;358578.23759199993;62313.59971499998;74.40000000000003;191869.59261436845;139896.32325901126;6991.176255308652;29099.73460464079;15882.454168378306;0.0;36101.78942260612;22794.32914102968;10457.35064988584;2751.3282586000832;98.80392822373868;0.0;130606.85555502548;130606.85555502548;0.0;0.0;0.0;0.0;18487.840359453425;5858.60281551085;2820.1338024777638;4628.271376202898;5184.6328342791885;1.9699082731626645;22541.961607585745;3049.4050191682754;4044.991231388356;7423.2679521874;7615.205856883938;408.30498681726846;6220.553034279667;6220.553034279667;0.0;0.0;0.0;0.0;6298.005560751683;4823.211612798934;1185.515586967785;275.1024390087248;14.175921976242767;0.0;5077.352795985623;1617.898930983136;1841.952548066392;1513.183279111228;104.31945809644805;0.0;3687.886356943832;3687.8863569438313;0.0;0.0;0.0;0.0;24785.84592020511;10681.814428309783;4005.649389445549;4903.373815211623;5198.808756255431;1.9699082731626645;27619.314403571367;4667.303950151411;5886.943779454748;8936.451231298628;7719.525314980387;408.30498681726846;9908.4393912235;9908.4393912235;0.0;0.0;0.0;0.0;296264.637877;167083.74669416333;129214.50883070148;2985.526865863103;24196.360789429167;10683.645412122874;0.0;8482.475019034751;18127.02519087827;4570.406870431092;0.0;0.0;0.0;120698.41616380199;120698.41616380199;0.0;0.0;0.0;0.0
3;SERM Bisontin;besancon;M2;3;Autoroute;4205475.686964;1082853.8837989997;331.79;1905748.959811753;1262238.356061831;325151.92427688936;85150.13542733953;233209.1736828989;0.0;1871662.382210611;101981.62075145676;419312.2565817424;663674.1656404736;686694.2325391356;0.0;428064.3449416369;427440.32999218727;624.0149494495719;0.0;0.0;0.0;147577.22379397295;57638.73466711541;39988.05271332926;37642.440342023154;11350.23443085804;957.1254568047888;678625.9108783093;6424.4433731694735;38893.49607221215;246203.50898910096;181605.6372605544;205495.17771756405;7427.400386615421;7427.400386615421;0.0;0.0;0.0;0.0;72176.85672578253;45294.99889557436;17294.012785782452;9550.784236449172;37.06080797654472;0.0;170377.2482715385;4306.283478793661;12781.559733114396;127310.21740266454;24920.3585146301;1058.8291423358648;6669.243742781431;6669.243742781431;0.0;0.0;0.0;0.0;219754.0805197555;102933.73356268977;57282.06549911172;47193.22457847233;11387.295238834584;957.1254568047888;849003.1591498478;10730.726851963134;51675.05580532654;373513.7263917655;206525.99577518448;206554.0068598999;14096.644129396853;14096.644129396853;0.0;0.0;0.0;0.0;3122621.803165;1685994.8792919973;1159304.6224991411;267869.85877777764;37956.9108488672;221821.87844406432;0.0;1022659.2230607631;91250.89389949363;367637.2007764158;290160.4392487081;480168.23676395114;0.0;413967.70081224;413343.68586279044;624.0149494495719;0.0;0.0;0.0
3;SERM Bisontin;besancon;M2;3;Departementale;6910411.54218999;556458.5553580017;8043.900000000626;2461051.783200568;1850437.274868104;184995.3891158072;312939.6740554816;112674.79491854813;0.0;674096.797897511;169474.62812911122;176253.86498804064;220286.05291016307;108081.00345315968;0.0;3775262.96109193;3774545.321736781;542.8569441782315;124.53244793455522;50.37546382739564;0.0;186672.60034737876;103487.37825333331;36021.968884603746;36725.24417005294;9064.503090151042;442.0963840603056;50742.57974430175;12403.726446895796;13339.0933245299;15806.59097003144;8916.39053531755;259.61145371682977;103458.7080014102;103311.92063433638;54.81718575574353;61.119693290997866;29.512674064374465;0.6786430055755255;104525.5931189352;79171.19830264656;14380.149875430536;6901.736430612763;16.905814265215454;0.0;20344.915922505752;8910.125823988976;5997.417717815403;5350.798112079361;86.36174016748394;0.0;90714.15822346749;90674.40748817397;27.398856853618035;11.653763385828707;1.3572860111510512;0.0;291198.19346631394;182658.57655597987;50402.11876003428;43626.9806006657;9081.408904416257;442.0963840603056;71087.4956668075;21313.852270884774;19336.511042345304;21157.3890821108;9002.752275485034;259.61145371682977;194172.86622487768;193986.32812251034;82.21604260936157;72.77345667682657;30.869960075525515;0.6786430055755255;6353952.986831988;2169853.589734254;1667778.698312124;134593.27035577293;269312.6934548159;103593.38601413187;0.0;603009.3022307035;148160.77585822647;156917.35394569533;199128.66382805226;99078.25117767464;0.0;3581090.0948670525;3580558.9936142704;460.64090156886994;51.75899125772865;19.505503751870126;0.0
