stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,departement,source_gtfs
UT39:01222,NEUBLANS Haut,46.907535,5.330646,,0,UT39:ST:01222,0,region,region_lignes_regulieres
UT39:01230A,Place Bascule,47.00235,5.519584,,0,UT39:ST:01230,0,region,region_lignes_regulieres
UT39:01230R,Place Bascule,47.001977,5.52019,,0,UT39:ST:01230,0,region,region_lignes_regulieres
UT39:01250,RD1083,46.581887,5.442675,,0,UT39:ST:01250,0,region,region_lignes_regulieres
UT39:01258,Salle Polyvalente,46.519667,5.610109,,0,UT39:ST:01258,0,region,region_lignes_regulieres
UT39:01266,Eglise,46.994709,5.666316,,0,UT39:ST:01266,0,region,region_lignes_regulieres
UT39:01272,Village,46.970583,5.817632,,0,UT39:ST:01272,0,region,region_lignes_regulieres
UT39:01279A,RD471,46.692842,5.5963,,0,UT39:ST:01279,0,region,region_lignes_regulieres
UT39:01279R,RD471,46.693117,5.596678,,0,UT39:ST:01279,0,region,region_lignes_regulieres
UT39:01283,PASQUIER (LE) Abribus,46.793894,5.901998,,0,UT39:ST:01283,0,region,region_lignes_regulieres
UT39:01284,PASQUIER (LE) Mairie,46.800446,5.904871,,0,UT39:ST:01284,0,region,region_lignes_regulieres
UT39:01288,RD678,46.586659,5.704442,,0,UT39:ST:01288,0,region,region_lignes_regulieres
UT39:01291,Condamine,46.669217,5.574303,,0,UT39:ST:01291,0,region,region_lignes_regulieres
UT39:01295,Centre Commercial,46.670158,5.575827,,0,UT39:ST:01295,0,region,region_lignes_regulieres
UT39:01296,Scierie,46.665836,5.581287,,0,UT39:ST:01296,0,region,region_lignes_regulieres
UT39:01298,Vatagna (Orlong),46.659984,5.590183,,0,UT39:ST:01298,0,region,region_lignes_regulieres
UT39:01309,Eglise,46.935884,5.343148,,0,UT39:ST:01309,0,region,region_lignes_regulieres
UT39:01313,Lavigne,46.939746,5.328865,,0,UT39:ST:01313,0,region,region_lignes_regulieres
UT39:01339,Calvaire,46.918336,5.452173,,0,UT39:ST:01339,0,region,region_lignes_regulieres
UT39:01347,Village,46.595694,5.629531,,0,UT39:ST:01347,0,region,region_lignes_regulieres
UT39:01349,Champ de Foire,46.834428,5.704053,,0,UT39:ST:01349,0,region,region_lignes_regulieres
UT39:01350,Charmilles,46.848047,5.697858,,0,UT39:ST:01350,1,region,region_lignes_regulieres
UT39:01355,Gare,46.844118,5.700316,,0,UT39:ST:01355,1,region,region_lignes_regulieres
UT39:01362,Place,46.585419,5.698253,,0,UT39:ST:01362,0,region,region_lignes_regulieres
UT39:01367,Moutaine,46.898341,5.892693,,0,UT39:ST:01367,0,region,region_lignes_regulieres
UT39:01369,Mairie,46.725167,5.778334,,0,UT39:ST:01369,0,region,region_lignes_regulieres
UT39:01375,Abribus,46.376388,5.76092,,0,UT39:ST:01375,0,region,region_lignes_regulieres
UT39:01427,Salle des Fêtes,46.76218,5.447893,,0,UT39:ST:01427,0,region,region_lignes_regulieres
UT39:01430,Grande Rue,46.761903,5.447832,,0,UT39:ST:01427,0,region,region_lignes_regulieres
UT39:01435,Village,46.635208,5.605158,,0,UT39:ST:01435,0,region,region_lignes_regulieres
UT39:01459,ROUSSES (LES) Collège,46.489489,6.069668,,0,UT39:ST:01459,0,region,region_lignes_regulieres
UT39:01461,ROUSSES (LES) Gouland,46.494461,6.035734,,0,UT39:ST:01461,0,region,region_lignes_regulieres
UT39:01463,ROUSSES (LES) La Cure,46.463538,6.072652,,0,UT39:ST:01463,0,region,region_lignes_regulieres
UT39:01464,ROUSSES (LES) La Cure Douane,46.463564,6.062599,,0,UT39:ST:01464,0,region,region_lignes_regulieres
UT39:01468,ROUSSES (LES) Le Gravier Vandelle,46.50471,6.10403,,0,UT39:ST:01468,0,region,region_lignes_regulieres
UT39:01469,ROUSSES (LES) Le Gravier Lacroix,46.499719,6.099648,,0,UT39:ST:01469,0,region,region_lignes_regulieres
UT39:01471,ROUSSES (LES) Le Noirmont,46.492197,6.092991,,0,UT39:ST:01471,0,region,region_lignes_regulieres
UT39:01477,ROUSSES (LES) Syndic d'Initiative,46.482965,6.061034,,0,UT39:ST:01477,0,region,region_lignes_regulieres
UT39:01485,Place de la Mairie,46.871218,5.429919,,0,UT39:ST:01485,0,region,region_lignes_regulieres
UT39:01488,RD1083,46.610027,5.47333,,0,UT39:ST:01488,0,region,region_lignes_regulieres
UT39:01503,ST AMOUR Av.Gare ,46.434704,5.335105,,0,UT39:ST:01503,0,region,region_lignes_regulieres
UT39:01511,ZI,46.437752,5.33425,,0,UT39:ST:01511,0,region,region_lignes_regulieres
UT39:01522A,Cathédrale,46.386813,5.866371,,0,UT39:ST:01522,0,region,region_lignes_regulieres
UT39:01522R,Cathédrale,46.386972,5.865369,,0,UT39:ST:01522,0,region,region_lignes_regulieres
UT39:01528,Aiglon,46.380338,5.823611,,0,UT39:ST:01528,0,region,region_lignes_regulieres
UT39:01529,Faubourg école,46.385632,5.86235,,0,UT39:ST:01529,0,region,region_lignes_regulieres
UT39:01534,Cité scolaire Pré St Sauveur,46.38072,5.869272,,0,UT39:ST:01534,0,region,region_lignes_regulieres
UT39:01538,Pont Cimetière,46.384637,5.863707,,0,UT39:ST:01538,0,region,region_lignes_regulieres
UT39:01540,Rochefort,46.377203,5.872823,,0,UT39:ST:01540,0,region,region_lignes_regulieres
UT39:01541,Rue Carnot,46.380932,5.857228,,0,UT39:ST:01541,0,region,region_lignes_regulieres
UT39:01542,Saint Hubert,46.383786,5.87031,,0,UT39:ST:01542,0,region,region_lignes_regulieres
UT39:01543,Gare,46.389862,5.860909,,0,UT39:ST:01543,0,region,region_lignes_regulieres
UT39:01547,Place du 9 avril,46.391358,5.864299,,0,UT39:ST:01547,0,region,region_lignes_regulieres
UT39:01571,SAINT-LAURENT-EN-GDX Gare,46.574908,5.951636,,0,UT39:ST:01571,0,region,region_lignes_regulieres
UT39:01574,SAINT LAURENT EN GDX Ville,46.57613,5.955703,,0,UT39:ST:01574,0,region,region_lignes_regulieres
UT39:01585,SAINT LUPICIN Gertem,46.394727,5.79459,,0,UT39:ST:01585,0,region,region_lignes_regulieres
UT39:01588,SAINT LUPICIN Place Mairie,46.397836,5.793338,,0,UT39:ST:01588,0,region,region_lignes_regulieres
UT39:01602,RD678,46.580156,5.929144,,0,UT39:ST:01602,0,region,region_lignes_regulieres
UT39:01617,Casino,46.938627,5.87748,,0,UT39:ST:01617,0,region,region_lignes_regulieres
UT39:01619,SALINS Faienceries,46.949311,5.872699,,0,UT39:ST:01619,0,region,region_lignes_regulieres
UT39:01622,SALINS Lycée,46.949079,5.882901,,0,UT39:ST:01622,0,region,region_lignes_regulieres
UT39:01624,SALINS Olivet,46.947286,5.877408,,0,UT39:ST:01624,0,region,region_lignes_regulieres
UT39:01625,SALINS Pl. Aubarède,46.932927,5.878559,,0,UT39:ST:01625,0,region,region_lignes_regulieres
UT39:01626,SALINS Pl. Ste Marie,46.929098,5.886987,,0,UT39:ST:01626,0,region,region_lignes_regulieres
UT39:01628,SALINS Ancienne Gare,46.947122,5.878055,,0,UT39:ST:01628,0,region,region_lignes_regulieres
UT39:01657,Poste,46.827464,5.565303,,0,UT39:ST:01657,1,region,region_lignes_regulieres
UT39:01659,SEPTMONCEL Bellecombe,46.378983,5.924376,,0,UT39:ST:01659,0,region,region_lignes_regulieres
UT39:01661,SEPTMONCEL Clavières,46.386855,5.939575,,0,UT39:ST:01661,0,region,region_lignes_regulieres
UT39:01666,SEPTMONCEL L'Evalide,46.359623,5.907915,,0,UT39:ST:01666,0,region,region_lignes_regulieres
UT39:01667,SEPTMONCEL Montépile,46.362864,5.908305,,0,UT39:ST:01667,0,region,region_lignes_regulieres
UT39:01668,SEPTMONCEL Place,46.371248,5.914351,,0,UT39:ST:01668,0,region,region_lignes_regulieres
UT39:01686,RN 63,46.991434,5.558586,,0,UT39:ST:01686,0,region,region_lignes_regulieres
UT39:01687,Poste,46.994351,5.550748,,0,UT39:ST:01687,0,region,region_lignes_regulieres
UT39:01728,TOUR DU MEIX (LA) Ecole-Mairie,46.526666,5.661147,,0,UT39:ST:01728,0,region,region_lignes_regulieres
UT39:01730,TOUR DU MEIX (LA) RD470,46.524947,5.659585,,0,UT39:ST:01730,0,region,region_lignes_regulieres
UT39:01732,Village Parking,46.859956,5.683942,,0,UT39:ST:01732,0,region,region_lignes_regulieres
UT39:01737A,Carf. RD469,46.922676,5.701181,,0,UT39:ST:01737,0,region,region_lignes_regulieres
UT39:01757,Eglise,46.980288,5.621882,,0,UT39:ST:01757,0,region,region_lignes_regulieres
UT39:01759,Pont,46.976938,5.619611,,0,UT39:ST:01759,0,region,region_lignes_regulieres
UT39:01766,Paisia,46.598403,5.459141,,0,UT39:ST:01766,0,region,region_lignes_regulieres
UT39:01767,RD1083,46.59388,5.454064,,0,UT39:ST:01767,0,region,region_lignes_regulieres
UT39:01777,Mairie,46.815341,5.915917,,0,UT39:ST:01777,0,region,region_lignes_regulieres
UT39:01787,VIEILLE LOYE (LA) Mairie,47.04163,5.632191,,0,UT39:ST:01787,0,region,region_lignes_regulieres
UT39:01794A,VILLARD ST SAUVEUR L'Essard,46.370764,5.8752,,0,UT39:ST:01794,0,region,region_lignes_regulieres
UT39:01797,VILLARD ST SAUVEUR Montbrillant Bas,46.368946,5.878199,,0,UT39:ST:01797,0,region,region_lignes_regulieres
UT39:01801,Mairie,46.415445,5.730666,,0,UT39:ST:01801,0,region,region_lignes_regulieres
UT39:01802,Ecole,46.415253,5.734903,,0,UT39:ST:01802,0,region,region_lignes_regulieres
UT39:01830,Eglise,46.736845,5.464433,,0,UT39:ST:01830,0,region,region_lignes_regulieres
UT39:01836,VINCELLES RD1083,46.604566,5.4667,,0,UT39:ST:01836,0,region,region_lignes_regulieres
UT39:01872,Village,46.890951,5.302698,,0,UT39:ST:01872,0,region,region_lignes_regulieres
UT39:01876,Brouchy,46.481993,5.365659,,0,UT39:ST:01876,0,region,region_lignes_regulieres
UT39:01879,Collège,46.498824,5.389443,,0,UT39:ST:01879,0,region,region_lignes_regulieres
UT39:01889,RD1083,46.46944,5.359392,,0,UT39:ST:01889,0,region,region_lignes_regulieres
UT39:01896,Château d'Eau,46.88367,5.267268,,0,UT39:ST:01896,0,region,region_lignes_regulieres
UT39:01915,Bretelle RD1083,46.516623,5.388059,,0,UT39:ST:01915,0,region,region_lignes_regulieres
UT39:01938,Salines,46.936985,5.876186,,0,UT39:ST:01938,0,region,region_lignes_regulieres
UT39:01964,RD 475,46.92238,5.515668,,0,UT39:ST:01964,0,region,region_lignes_regulieres
UT39:03129,Atelier Communal,46.846525,5.479005,,0,UT39:ST:03129,0,region,region_lignes_regulieres
UT39:03174,Av Bad Kreuznach,46.214631,5.242949,,0,UT39:ST:03174,0,region,region_lignes_regulieres
UT39:03179,RD 905,47.023458,5.494643,,0,UT39:ST:03179,0,region,region_lignes_regulieres
UT39:03184,Boulangerie,46.802909,5.451666,,0,UT39:ST:00511,0,region,region_lignes_regulieres
UT39:03186,Avenue Maillot,46.675602,5.529921,,0,UT39:ST:01134,0,region,region_lignes_regulieres
UT39:03188,Pl de la Résistance,46.736977,5.464287,,0,UT39:ST:01830,0,region,region_lignes_regulieres
UT39:03190,Rivoire,46.673583,5.532811,,0,UT39:ST:01139,0,region,region_lignes_regulieres
UT39:03191,MESSIA/SORNE Salle des Fêtes,46.662917,5.521789,,0,UT39:ST:01042,0,region,region_lignes_regulieres
UT39:03192,MESSIA/SORNE Z.I.,46.662909,5.521788,,0,UT39:ST:01043,0,region,region_lignes_regulieres
UT39:03193,CFA,46.641804,5.501612,,0,UT39:ST:00800,0,region,region_lignes_regulieres
UT39:03194,RD1083,46.626021,5.488882,,0,UT39:ST:00297,0,region,region_lignes_regulieres
UT39:03195,RD1083,46.609863,5.473626,,0,UT39:ST:01488,0,region,region_lignes_regulieres
UT39:03196,VINCELLES  RD1083,46.604553,5.467002,,0,UT39:ST:01836,0,region,region_lignes_regulieres
UT39:03197,Paisia,46.598754,5.459808,,0,UT39:ST:01766,0,region,region_lignes_regulieres
UT39:03198,RD 1083,46.594279,5.454719,,0,UT39:ST:01767,0,region,region_lignes_regulieres
UT39:03199,RD1083,46.582231,5.443113,,0,UT39:ST:01250,0,region,region_lignes_regulieres
UT39:03200,BEAUFORT Place du Souvenir,46.574648,5.436218,,0,UT39:ST:00185,0,region,region_lignes_regulieres
UT39:03201,RD1083,46.565952,5.416746,,0,UT39:ST:01024,0,region,region_lignes_regulieres
UT39:03202,RD1083 ,46.555397,5.406936,,0,UT39:ST:00144,0,region,region_lignes_regulieres
UT39:03203,La Grenette,46.532922,5.392016,,0,UT39:ST:00562,1,region,region_lignes_regulieres
UT39:03204,Carr. RD178,46.517138,5.389505,,0,UT39:ST:01915,0,region,region_lignes_regulieres
UT39:03207,Goz,46.481209,5.367117,,0,UT39:ST:01876,0,region,region_lignes_regulieres
UT39:03208,RD1083,46.468392,5.359363,,0,UT39:ST:01889,0,region,region_lignes_regulieres
UT39:03209,RD1083,46.458222,5.354624,,0,UT39:ST:00167,0,region,region_lignes_regulieres
UT39:03210,ST AMOUR Av.Gare,46.434769,5.335377,,0,UT39:ST:01503,0,region,region_lignes_regulieres
UT39:03211,Parking Bolard,46.437756,5.334442,,0,UT39:ST:03211,0,region,region_lignes_regulieres
UT39:03212,Gendarmerie,46.437472,5.343398,,0,UT39:ST:03212,1,region,region_lignes_regulieres
UT39:03213,NANC-ST-AMOUR RD3,46.423317,5.34921,,0,UT39:ST:01207,0,region,region_lignes_regulieres
UT39:03215,Mairie,46.382607,5.345165,,0,UT39:ST:00020,0,region,region_lignes_regulieres
UT39:03217,Eglise,46.345837,5.320695,,0,UT39:ST:03217,0,region,region_lignes_regulieres
UT39:03218,Moulin des Ponts,46.3322,5.314566,,0,UT39:ST:03218,0,region,region_lignes_regulieres
UT39:03220,Alimentec TUB,46.215308,5.243946,,0,UT39:ST:03220,0,region,region_lignes_regulieres
