count_point_id;count_point_name;operator_id;operator_name;longitude;latitude;op_road_name;route_normalisee;station_name;op_landmark;op_direction;meas_roadlink_id;disponible_2026;nb_heures_2026;premiere_mesure_2026;derniere_mesure_2026
5239;MXD25.A1;10;DIR Est;6.341264262950695;46.97630428518946;N57;N57;Radt La Vrine;61;Sens 1;72097932;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5241;MXD25.A2;10;DIR Est;6.341332049038488;46.97637780420945;N57;N57;Radt La Vrine;61;Sens 2;72097932;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5248;MXD25.B1;10;DIR Est;6.371862927567667;46.85491402226033;N57;N57;Radt La Gauffre;76;Sens 1;72107368;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5249;MXD25.B2;10;DIR Est;6.371945206158024;46.85497085740411;N57;N57;Radt La Gauffre;76;Sens 2;72107368;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5228;MXD25.C1;10;DIR Est;5.994447317587841;47.31273122163164;N57;N57;Radt Chatillon;2;Sens 1;86943260;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5229;MXD25.C2;10;DIR Est;5.99453586812401;47.31268475871585;N57;N57;Radt Chatillon;2;Sens 2;86950072;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4986;MXD25.D1;10;DIR Est;5.98913241812978;47.25366212413682;N57;N57;Radt Temis;10;Sens 1;72055047;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4987;MXD25.D2;10;DIR Est;5.989191416605793;47.25348560647721;N57;N57;Radt Temis;10;Sens 2;72055051;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5221;MXD25.E1;10;DIR Est;6.265521496235867;47.14756925141434;N57;N57;Radt Etalans;38;Sens 1;72076894;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5027;MXD25.E2;10;DIR Est;6.265596124601861;47.14763581421919;N57;N57;Radt Etalans;38;Sens 2;72076894;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5242;MXD25.F1;10;DIR Est;6.333641535266733;46.91355497740435;N57;N57;Radt Pontarlier1 (2x2);68;Sens 1;72102854;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5243;MXD25.F2;10;DIR Est;6.333766081321275;46.91351140477381;N57;N57;Radt Pontarlier1 (2x2);68;Sens 2;72103895;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5051;MXD25.G1;10;DIR Est;5.980195347129483;47.23600359970596;N57;N57;Radt St Ferjeux;12;Sens 1;;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5245;MXD25.G2;10;DIR Est;5.980283033658495;47.23609306409916;N57;N57;Radt St Ferjeux;12;Sens 2;;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5244;MXD25.H1;10;DIR Est;6.33663299953873;46.89999192077818;N57;N57;Radt Pontarlier 2;69;Sens 1;72104608;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5246;MXD25.H2;10;DIR Est;6.336628137776224;46.90009180252459;N57;N57;Radt Pontarlier 2;69;Sens 2;72104608;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5230;MXD25.I1;10;DIR Est;5.986285083588439;47.29300483151485;N57;N57;Radt Miserey;4;Sens 1;85724874;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5087;MXD25.I2;10;DIR Est;5.986424902898124;47.2929606999821;N57;N57;Radt Miserey;4;Sens 2;85724853;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5088;MXD25.J1;10;DIR Est;6.002826598931376;47.26798725766413;N57;N57;Radt Valentin;8;Sens 1;72050780;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5208;MXD25.J2;10;DIR Est;6.002945591918054;47.26808916132462;N57;N57;Radt Valentin;8;Sens 2;72052504;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4993;MXD25.K1;10;DIR Est;5.997873570231383;47.20453867729034;N83;N83;Radt Beure;27;Sens 1;72066353;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4996;MXD25.K2;10;DIR Est;5.997786866162957;47.20458850102483;N83;N83;Radt Beure;27;Sens 2;72066353;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5182;MXD25.L1;10;DIR Est;6.083612162780298;47.21973594123057;N57;N57;Radt Saone;21;Sens 1;86225868;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5005;MXD25.L2;10;DIR Est;6.083655184262819;47.21980984382183;N57;N57;Radt Saone;21;Sens 2;72062573;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5158;MXD25.N1;10;DIR Est;6.009764707133523;47.21515625739671;;;;;;;0;0;;
5232;MXD25.N2;10;DIR Est;6.009745315345499;47.21523698774524;;;;;;;0;0;;
5076;MXD25.O1;10;DIR Est;5.96336859132595;47.17164181677188;N83;N83;Radt Busy;21;Sens 1;72073919;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5010;MXD25.O2;10;DIR Est;5.963271696704715;47.17166654393054;N83;N83;Radt Busy;21;Sens 2;72073919;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5237;MXD25.P1;10;DIR Est;6.065186940640222;47.21616414184506;N57;N57;Radt La Veze;19;Sens 1;81699457;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5238;MXD25.P2;10;DIR Est;6.065139314779865;47.21625483736143;N57;N57;Radt La Veze;19;Sens 2;82564724;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5210;MXD25.Q1;10;DIR Est;5.98711632884185;47.21547477109576;N57;N57;Radt Micropolis;14;Sens 1;72064703;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5231;MXD25.Q2;10;DIR Est;5.987204793508585;47.21552139729803;N57;N57;Radt Micropolis;14;Sens 2;72064703;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5250;MXD25.T1;10;DIR Est;6.372832158975693;46.74190641983508;N57;N57;Radt Jougne;92;Sens 1;72113846;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5251;MXD25.T2;10;DIR Est;6.372930778770509;46.74192297689009;N57;N57;Radt Jougne;92;Sens 2;72113846;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5038;MXH70.A1;10;DIR Est;6.078423940216671;47.45347792315889;N57;N57;Radt La Malachere;66;Sens 1;75697438;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5052;MXH70.A2;10;DIR Est;6.078504123168048;47.45341816787202;N57;N57;Radt La Malachere;66;Sens 2;75697438;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4994;MXH70.B1;10;DIR Est;5.873622943627864;47.71805150010277;N19;N19;Radt Combeaufontaine;16;Sens 1;75662692;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
